section_id,country_code,country_name,election_region_code,election_region_name,municipality_code,municipality_name,city_region_code,city_region_name,section_code,town_code,town_name,place,voters_count,is_machine,is_mobile,is_ship,is_covid
010100001,00,България,01,Благоевград,01,Банско,,,001,2676,гр. Банско,"СОУ ""Неофит Рилски"", ул. ""Тодор Александров"" №9б",600,1,0,0,0
010100002,00,България,01,Благоевград,01,Банско,,,002,2676,гр. Банско,"ПЛТГ ""Никола Вапцаров"" (горски техникум), ул. ""България"" №31",562,1,0,0,0
010100003,00,България,01,Благоевград,01,Банско,,,003,2676,гр. Банско,"ПЛТГ ""Никола Вапцаров"" (горски техникум), ул. ""България"" №31",524,1,0,0,0
010100004,00,България,01,Благоевград,01,Банско,,,004,2676,гр. Банско,"Клуб на пенсионера, ул. ""Цар Симеон i"" №54",603,1,0,0,0
010100005,00,България,01,Благоевград,01,Банско,,,005,2676,гр. Банско,"Читалище ""Никола Вапцаров"", пл. ""Никола Вапцаров"" №14",488,1,0,0,0
010100006,00,България,01,Благоевград,01,Банско,,,006,2676,гр. Банско,"Начално училище ""Паисий Хилиндарски"", пл. ""Възраждане"" №3",477,1,0,0,0
010100007,00,България,01,Благоевград,01,Банско,,,007,2676,гр. Банско,"Начално училище ""Паисий Хилиндарски"", пл. ""Възраждане"" №3",592,1,0,0,0
010100008,00,България,01,Благоевград,01,Банско,,,008,2676,гр. Банско,"ПЛТГ ""Никола Вапцаров"" (горски техникум), ул. ""България"" №31",500,1,0,0,0
010100009,00,България,01,Благоевград,01,Банско,,,009,2676,гр. Банско,"ПЛТГ ""Никола Вапцаров"" (горски техникум), ул. ""България"" №31",569,1,0,0,0
010100010,00,България,01,Благоевград,01,Банско,,,010,2676,гр. Банско,"Начално училище ""Паисий Хилиндарски"", пл. ""Възраждане"" №3",635,1,0,0,0
010100011,00,България,01,Благоевград,01,Банско,,,011,2676,гр. Банско,"СОУ ""Неофит Рилски"", ул. ""Тодор Александров"" № 9б",666,1,0,0,0
010100012,00,България,01,Благоевград,01,Банско,,,012,2676,гр. Банско,"СОУ ""Неофит Рилски"", ул. ""Тодор Александров"" № 9б",669,1,0,0,0
010100013,00,България,01,Благоевград,01,Банско,,,013,2676,гр. Банско,"Начално училище ""Паисий Хилиндарски"", пл. ""Възраждане"" №3",786,1,0,0,0
010100014,00,България,01,Благоевград,01,Банско,,,014,21498,гр. Добринище,"Читалището, пл. ""Независимост"" № 2",665,1,0,0,0
010100015,00,България,01,Благоевград,01,Банско,,,015,21498,гр. Добринище,"Основно училище ""Св. Климент Охридски"", ул. ""Ив. Галчев"" №21",609,1,0,0,0
010100016,00,България,01,Благоевград,01,Банско,,,016,21498,гр. Добринище,"Основно училище ""Св. Климент Охридски"", ул. ""Ив. Галчев"" №21",451,1,0,0,0
010100017,00,България,01,Благоевград,01,Банско,,,017,21498,гр. Добринище,"Клуб на пенсионера, ул. ""Търговска"" № 16",602,1,0,0,0
010100018,00,България,01,Благоевград,01,Банско,,,018,17381,с. Гостун,Клуб на пенсионера,30,0,0,0,0
010100019,00,България,01,Благоевград,01,Банско,,,019,54136,с. Осеново,Клуб на пенсионера,42,0,0,0,0
010100020,00,България,01,Благоевград,01,Банско,,,020,53059,с. Обидим,Клуб на пенсионера,64,0,0,0,0
010100021,00,България,01,Благоевград,01,Банско,,,021,39614,с. Кремен,Клуб на пенсионера,145,0,0,0,0
010100022,00,България,01,Благоевград,01,Банско,,,022,47857,с. Места,Клуб на пенсионера,191,0,0,0,0
010100023,00,България,01,Благоевград,01,Банско,,,023,76090,с. Филипово,Клуб на пенсионера,531,1,0,0,0
010200001,00,България,01,Благоевград,02,Белица,,,001,3504,гр. Белица,"Гимназия ""Никола Вапцаров"", ул. ""Димо Хаджидимов""",595,1,0,0,0
010200002,00,България,01,Благоевград,02,Белица,,,002,3504,гр. Белица,"Гимназия ""Никола Вапцаров"", ул. ""Димо Хаджидимов""",804,1,0,0,0
010200003,00,България,01,Благоевград,02,Белица,,,003,3504,гр. Белица,"Клуб на пенсионера, ул. ""Георги Андрейчин"" № 11",731,1,0,0,0
010200004,00,България,01,Благоевград,02,Белица,,,004,3504,гр. Белица,"Социален патронаж, ул. ""Владимир Поптомов""",588,1,0,0,0
010200005,00,България,01,Благоевград,02,Белица,,,005,20064,с. Дагоново,Училище,624,1,0,0,0
010200006,00,България,01,Благоевград,02,Белица,,,006,39270,с. Краище,"Детска градина, ул. ""Единадесета"" №18",737,1,0,0,0
010200007,00,България,01,Благоевград,02,Белица,,,007,39270,с. Краище,"Маг. бимб. махала - бараките, ул. ""Двадесет и Първа"" № 4",703,1,0,0,0
010200008,00,България,01,Благоевград,02,Белица,,,008,39270,с. Краище,"Детска градина, ул. ""Единадесета"" №18",652,1,0,0,0
010200009,00,България,01,Благоевград,02,Белица,,,009,77596,с. Горно Краище,Училище,961,1,0,0,0
010200010,00,България,01,Благоевград,02,Белица,,,010,77596,с. Горно Краище,Училище,400,1,0,0,0
010200011,00,България,01,Благоевград,02,Белица,,,011,44762,с. Лютово,Кметство,172,0,0,0,0
010200012,00,България,01,Благоевград,02,Белица,,,012,2107,с. Бабяк,Училище,608,1,0,0,0
010200013,00,България,01,Благоевград,02,Белица,,,013,15638,с. Гълъбово,Училище,30,0,0,0,0
010200014,00,България,01,Благоевград,02,Белица,,,014,40453,с. Кузьово,Училище,187,0,0,0,0
010200015,00,България,01,Благоевград,02,Белица,,,015,59330,с. Палатик,Училище,165,0,0,0,0
010200016,00,България,01,Благоевград,02,Белица,,,016,80649,с. Черешово,Училище,215,0,0,0,0
010200017,00,България,01,Благоевград,02,Белица,,,017,53998,с. Орцево,Кметство,133,0,0,0,0
010200018,00,България,01,Благоевград,02,Белица,,,018,14521,с. Златарица,Кметство,67,0,0,0,0
010300001,00,България,01,Благоевград,03,Благоевград,,,001,4279,гр. Благоевград,"Център за личностно и творческо развитие на децата, ул. ""Бистрица"" №001",561,1,0,0,0
010300002,00,България,01,Благоевград,03,Благоевград,,,002,4279,гр. Благоевград,"Център за личностно и творческо развитие на децата, ул. ""Бистрица"" №001",374,1,0,0,0
010300003,00,България,01,Благоевград,03,Благоевград,,,003,4279,гр. Благоевград,"СУИЧЕ ""Климент Охридски"", ул. ""Брегалница"" №002",504,1,0,0,0
010300004,00,България,01,Благоевград,03,Благоевград,,,004,4279,гр. Благоевград,"СУИЧЕ ""Климент Охридски"", ул. ""Брегалница"" №002",559,1,0,0,0
010300005,00,България,01,Благоевград,03,Благоевград,,,005,4279,гр. Благоевград,"СУИЧЕ ""Климент Охридски"", ул. ""Брегалница"" №002",644,1,0,0,0
010300006,00,България,01,Благоевград,03,Благоевград,,,006,4279,гр. Благоевград,"Детска градина №11 ""Здравец"", ул. ""Лале"" №011",630,1,0,0,0
010300007,00,България,01,Благоевград,03,Благоевград,,,007,4279,гр. Благоевград,"Детска градина №11 ""Здравец"", ул. ""Лале"" №011",638,1,0,0,0
010300008,00,България,01,Благоевград,03,Благоевград,,,008,4279,гр. Благоевград,"Помощно училище ""Св. Паисий Хилендарски"", ул. ""Свобода"" №3",684,1,0,0,0
010300009,00,България,01,Благоевград,03,Благоевград,,,009,4279,гр. Благоевград,"Помощно училище ""Св. Паисий Хилендарски"", ул. ""Свобода"" №3",702,1,0,0,0
010300010,00,България,01,Благоевград,03,Благоевград,,,010,4279,гр. Благоевград,"Помощно училище ""Св. Паисий Хилендарски"", ул. ""Свобода"" №3",717,1,0,0,0
010300011,00,България,01,Благоевград,03,Благоевград,,,011,4279,гр. Благоевград,"V СУ ""Георги Измирлиев"", ул. ""Христо Чернопеев"" №16",605,1,0,0,0
